username,counting-sheep-dot-dot-dot,counting-in-the-amazon,a-rule-of-divisibility-by-7,regular-ball-super-ball,deodorant-evaporator,tests-results,count-the-smiley-faces,keep-hydrated-1,tribonacci-sequence,schrodingers-boolean,complementary-dna,sql-with-sailor-moon-thinking-about-joins-dot-dot-dot,sql-basics-monsters-using-case,sql-with-harry-potter-sorting-hat-comparators,see-you-next-happy-year,pete-the-baker,the-deaf-rats-of-hamelin,scraping-get-the-year-a-codewarrior-joined,decode-the-morse-code,the-supermarket-queue,80-s-kids-number-2-help-alf-find-his-spaceship
sujeto123,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,False,True,False
agirondo,True,True,False,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False
ALBERTOGIL13,False,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,False
Arturo-Rodriguez-Moreno,True,True,False,False,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,False
dgomezlechon,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False
quique_pl,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False
franmu94,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False
trabalong,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,False
jgchaparro,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False
lucasmigliano21,False,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False
miguelmanzan,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False
PatriciaAb,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Penzini-pedro,True,True,False,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False
sergiomessaoudi,True,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False
Aplatm,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
